date,yield_10y,yield_30y
2023-05-06,2.7311,3.0882
2023-05-08,2.7484,3.1058
2023-05-09,2.7383,3.0998
2023-05-10,2.721,3.0849
2023-05-11,2.701,3.0672
2023-05-12,2.7058,3.0608
2023-05-15,2.719,3.0649
2023-05-16,2.7129,3.066
2023-05-17,2.721,3.081
2023-05-18,2.7184,3.081
2023-05-19,2.7151,3.0773
2023-05-22,2.7132,3.0762
2023-05-23,2.6962,3.0687
2023-05-24,2.7037,3.0723
2023-05-25,2.7065,3.0773
2023-05-26,2.7205,3.0913
2023-05-29,2.695,3.0839
2023-05-30,2.7,3.0839
2023-05-31,2.685,3.0733
2023-06-01,2.6825,3.0694
2023-06-02,2.6951,3.0784
2023-06-05,2.6926,3.079
2023-06-06,2.6826,3.0716
2023-06-07,2.6827,3.0645
2023-06-08,2.6822,3.0651
2023-06-09,2.6703,3.044
2023-06-12,2.6704,3.0391
2023-06-13,2.6227,3.0064
2023-06-14,2.6178,2.9963
2023-06-15,2.6482,3.0267
2023-06-16,2.6626,3.0419
2023-06-19,2.6876,3.0619
2023-06-20,2.6751,3.0444
2023-06-21,2.6701,3.042
2023-06-25,2.6576,3.028
2023-06-26,2.6677,3.0346
2023-06-27,2.6676,3.0295
2023-06-28,2.6651,3.0271
2023-06-29,2.6526,3.0171
2023-06-30,2.6351,3.0072
2023-07-03,2.6402,3.0133
2023-07-04,2.6477,3.0225
2023-07-05,2.6402,3.0176
2023-07-06,2.6392,3.018
2023-07-07,2.6403,3.013
2023-07-10,2.6403,3.0091
2023-07-11,2.6353,3.0011
2023-07-12,2.6378,3.0011
2023-07-13,2.6413,3.0084
2023-07-14,2.6444,3.0144
2023-07-17,2.6364,3.0085
2023-07-18,2.6234,2.9965
2023-07-19,2.6233,2.9987
2023-07-20,2.6214,2.9967
2023-07-21,2.6079,2.9828
2023-07-24,2.5934,2.9588
2023-07-25,2.663,3.0156
2023-07-26,2.643,3.0003
2023-07-27,2.6395,2.9948
2023-07-28,2.6533,3.0061
2023-07-31,2.6597,3.0103
2023-08-01,2.6607,3.0119
2023-08-02,2.6525,2.9989
2023-08-03,2.6435,2.9927
2023-08-04,2.6469,2.9927
2023-08-07,2.6462,2.9904
2023-08-08,2.6454,2.9879
2023-08-09,2.6461,2.9896
2023-08-10,2.6475,2.992
2023-08-11,2.6381,2.985
2023-08-14,2.6212,2.971
2023-08-15,2.5759,2.9342
2023-08-16,2.5649,2.9259
2023-08-17,2.5678,2.9285
2023-08-18,2.5639,2.9225
2023-08-21,2.5403,2.8894
2023-08-22,2.5564,2.8938
2023-08-23,2.5535,2.8834
2023-08-24,2.5543,2.8812
2023-08-25,2.5702,2.8877
2023-08-28,2.5837,2.8955
2023-08-29,2.57,2.9006
2023-08-30,2.56,2.9026
2023-08-31,2.5575,2.9027
2023-09-01,2.585,2.928
2023-09-04,2.6124,2.9611
2023-09-05,2.615,2.9666
2023-09-06,2.6375,2.9869
2023-09-07,2.635,2.9834
2023-09-08,2.6375,2.9849
2023-09-11,2.63,2.983
2023-09-12,2.623,2.9824
2023-09-13,2.615,2.9732
2023-09-14,2.6075,2.9545
2023-09-15,2.64,2.984
2023-09-18,2.65,2.9841
2023-09-19,2.6625,2.9895
2023-09-20,2.665,2.9919
2023-09-21,2.6576,2.984
2023-09-22,2.6776,2.9971
2023-09-25,2.6976,3.0119
2023-09-26,2.6951,3.0068
2023-09-27,2.6877,3.007
2023-09-28,2.6751,3.0022
2023-10-07,2.6651,2.9926
2023-10-08,2.6626,2.9948
2023-10-09,2.6702,2.999
2023-10-10,2.6811,3.0019
2023-10-11,2.6976,3.0153
2023-10-12,2.6911,3.0139
2023-10-13,2.6702,2.9952
2023-10-16,2.6777,2.9997
2023-10-17,2.6882,3.0021
2023-10-18,2.7052,3.0021
2023-10-19,2.7177,3.0077
2023-10-20,2.7052,2.9962
2023-10-23,2.7047,2.9903
2023-10-24,2.7177,2.9978
2023-10-25,2.7052,3.0004
2023-10-26,2.7152,3.0054
2023-10-27,2.7133,3.0104
2023-10-30,2.7141,3.0106
2023-10-31,2.6938,2.9956
2023-11-01,2.6853,2.9911
2023-11-02,2.6553,2.9666
2023-11-03,2.6613,2.9727
2023-11-06,2.6554,2.9683
2023-11-07,2.6632,2.9718
2023-11-08,2.6464,2.9583
2023-11-09,2.6494,2.9584
2023-11-10,2.6444,2.9459
2023-11-13,2.6454,2.9385
2023-11-14,2.6573,2.9439
2023-11-15,2.6633,2.9485
2023-11-16,2.6558,2.944
2023-11-17,2.6524,2.9336
2023-11-20,2.6584,2.9321
2023-11-21,2.6684,2.9388
2023-11-22,2.6823,2.9538
2023-11-23,2.7023,2.9704
2023-11-24,2.7053,2.9684
2023-11-27,2.7108,2.9745
2023-11-28,2.6898,2.954
2023-11-29,2.6826,2.9525
2023-11-30,2.668,2.9405
2023-12-01,2.6625,2.9445
2023-12-04,2.6725,2.9537
2023-12-05,2.665,2.9487
2023-12-06,2.6725,2.9517
2023-12-07,2.664,2.9457
2023-12-08,2.6636,2.9428
2023-12-11,2.644,2.9288
2023-12-12,2.6375,2.9293
2023-12-13,2.6226,2.9148
2023-12-14,2.6376,2.9219
2023-12-15,2.6227,2.9039
2023-12-18,2.6126,2.8869
2023-12-19,2.6191,2.892
2023-12-20,2.6222,2.8849
2023-12-21,2.5901,2.8492
2023-12-22,2.5877,2.8341
2023-12-25,2.5678,2.8077
2023-12-26,2.5804,2.8267
2023-12-27,2.5577,2.8167
2023-12-28,2.5694,2.8288
2023-12-29,2.5553,2.8269
2023-12-31,2.5553,2.8269
2024-01-02,2.5601,2.8422
2024-01-03,2.5531,2.8402
2024-01-04,2.5368,2.817
2024-01-05,2.5175,2.8043
2024-01-08,2.5136,2.802
2024-01-09,2.4862,2.7693
2024-01-10,2.4982,2.7758
2024-01-11,2.4992,2.7769
2024-01-12,2.5172,2.793
2024-01-15,2.5212,2.7856
2024-01-16,2.5252,2.7897
2024-01-17,2.5077,2.7747
2024-01-18,2.5092,2.7732
2024-01-19,2.5027,2.7583
2024-01-22,2.4922,2.7224
2024-01-23,2.5042,2.7327
2024-01-24,2.5042,2.738
2024-01-25,2.4984,2.7321
2024-01-26,2.4994,2.7331
2024-01-29,2.494,2.7272
2024-01-30,2.4557,2.6831
2024-01-31,2.433,2.6482
2024-02-01,2.4354,2.6472
2024-02-02,2.4244,2.6353
2024-02-04,2.4053,2.6076
2024-02-05,2.4002,2.5974
2024-02-06,2.4525,2.6579
2024-02-07,2.4153,2.6214
2024-02-08,2.4379,2.6505
2024-02-09,2.4302,2.6505
2024-02-18,2.4393,2.643
2024-02-19,2.4344,2.627
2024-02-20,2.4134,2.6004
2024-02-21,2.4119,2.601
2024-02-22,2.4033,2.591
2024-02-23,2.4009,2.5809
2024-02-26,2.3789,2.54
2024-02-27,2.3809,2.5224
2024-02-28,2.3376,2.4868
2024-02-29,2.3375,2.4616
2024-03-01,2.3675,2.4915
2024-03-04,2.3475,2.4738
2024-03-05,2.3169,2.4794
2024-03-06,2.265,2.4274
2024-03-07,2.2776,2.431
2024-03-08,2.2825,2.4335
2024-03-11,2.305,2.4766
2024-03-12,2.3476,2.5415
2024-03-13,2.3326,2.5313
2024-03-14,2.3425,2.5343
2024-03-15,2.32,2.5094
2024-03-18,2.2926,2.4857
2024-03-19,2.2801,2.4485
2024-03-20,2.2951,2.466
2024-03-21,2.2851,2.4615
2024-03-22,2.3051,2.4832
2024-03-25,2.3151,2.4962
2024-03-26,2.3175,2.4982
2024-03-27,2.2876,2.4636
2024-03-28,2.3026,2.4664
2024-03-29,2.2901,2.4594
2024-04-01,2.3082,2.4848
2024-04-02,2.2927,2.475
2024-04-03,2.2837,2.4635
2024-04-07,2.2937,2.4776
2024-04-08,2.2822,2.4656
2024-04-09,2.2802,2.4637
2024-04-10,2.2972,2.4891
2024-04-11,2.2928,2.4928
2024-04-12,2.2837,2.487
2024-04-15,2.2798,2.4863
2024-04-16,2.2723,2.4717
2024-04-17,2.2608,2.4556
2024-04-18,2.2537,2.4466
2024-04-19,2.254,2.4411
2024-04-22,2.2435,2.4341
2024-04-23,2.226,2.4211
2024-04-24,2.2727,2.4791
2024-04-25,2.2612,2.4841
2024-04-26,2.3084,2.5257
2024-04-28,2.3244,2.5493
2024-04-29,2.353,2.5833
2024-04-30,2.3028,2.5382
2024-05-06,2.3081,2.5587
2024-05-07,2.2896,2.5413
2024-05-08,2.2955,2.55
2024-05-09,2.3186,2.5726
2024-05-10,2.3122,2.5826
2024-05-11,2.3361,2.6126
2024-05-13,2.29,2.5661
2024-05-14,2.2938,2.5631
2024-05-15,2.302,2.5681
2024-05-16,2.3147,2.5811
2024-05-17,2.3077,2.5867
2024-05-20,2.3105,2.5917
2024-05-21,2.3141,2.5927
2024-05-22,2.3123,2.57
2024-05-23,2.3063,2.5451
2024-05-24,2.3134,2.5515
2024-05-27,2.3084,2.5452
2024-05-28,2.2994,2.5302
2024-05-29,2.2776,2.5242
2024-05-30,2.2826,2.5327
2024-05-31,2.2926,2.5552
2024-06-03,2.2853,2.5473
2024-06-04,2.2854,2.5453
2024-06-05,2.2808,2.5378
2024-06-06,2.2828,2.5378
2024-06-07,2.2833,2.5303
2024-06-11,2.2791,2.5195
2024-06-12,2.276,2.5235
2024-06-13,2.2678,2.5175
2024-06-14,2.2558,2.499
2024-06-17,2.2609,2.5057
2024-06-18,2.2537,2.4887
2024-06-19,2.2429,2.4797
2024-06-20,2.2445,2.4708
2024-06-21,2.2571,2.4797
2024-06-24,2.2451,2.4607
2024-06-25,2.235,2.4477
2024-06-26,2.2225,2.4442
2024-06-27,2.2081,2.4282
2024-06-28,2.2058,2.4282
2024-07-01,2.2486,2.4782
2024-07-02,2.2369,2.4692
2024-07-03,2.2426,2.4738
2024-07-04,2.2502,2.4798
2024-07-05,2.2754,2.513
2024-07-08,2.2904,2.5205
2024-07-09,2.2698,2.5017
2024-07-10,2.2707,2.5068
2024-07-11,2.2648,2.5025
2024-07-12,2.2604,2.4921
2024-07-15,2.2541,2.4772
2024-07-16,2.2613,2.4801
2024-07-17,2.2598,2.4812
2024-07-18,2.2673,2.4901
2024-07-19,2.2614,2.4842
2024-07-22,2.2461,2.4712
2024-07-23,2.2322,2.4691
2024-07-24,2.2381,2.4676
2024-07-25,2.2168,2.4357
2024-07-26,2.1944,2.4226
2024-07-29,2.1574,2.39
2024-07-30,2.148,2.3765
2024-07-31,2.1494,2.3825
2024-08-01,2.1297,2.3651
2024-08-02,2.1277,2.3465
2024-08-05,2.1376,2.3375
2024-08-06,2.1491,2.355
2024-08-07,2.1414,2.335
2024-08-08,2.181,2.37
2024-08-09,2.1986,2.38
2024-08-12,2.2508,2.435
2024-08-13,2.2255,2.4075
2024-08-14,2.1966,2.3751
2024-08-15,2.205,2.39
2024-08-16,2.1978,2.39
2024-08-19,2.1816,2.3675
2024-08-20,2.171,2.36
2024-08-21,2.167,2.3551
2024-08-22,2.1582,2.3476
2024-08-23,2.1547,2.3401
2024-08-26,2.1628,2.3475
2024-08-27,2.1903,2.3825
2024-08-28,2.1673,2.355
2024-08-29,2.1703,2.365
2024-08-30,2.1704,2.3651
2024-09-02,2.1457,2.3425
2024-09-03,2.1432,2.339
2024-09-04,2.1336,2.3225
