date,code,name,group,close,volume,per_share_amount,daily_yield,yield_10y,yield_30y,spread_A_10y,spread_A_30y,market_cap,phase
2022-08-31,180501.SZ,红土创新深圳安居REIT,B,3.229,16562894,0.0953,0.029513781356457106,2.6225,3.1162,0.32887813564571067,-0.16482186435428936,1614500000.0,phase1_warming
2022-09-01,180501.SZ,红土创新深圳安居REIT,B,3.406,46851481,0.0953,0.027980035231943628,2.6125,3.1032,0.18550352319436314,-0.3051964768056372,1703000000.0,phase1_warming
2022-09-02,180501.SZ,红土创新深圳安居REIT,B,3.407,9101380,0.0953,0.027971822717933664,2.6226,3.1008,0.1745822717933665,-0.3036177282066337,1703500000.0,phase1_warming
2022-09-05,180501.SZ,红土创新深圳安居REIT,B,3.395,5020524,0.0953,0.028070692194403533,2.618,3.09,0.18906921944035338,-0.2829307805596466,1697500000.0,phase1_warming
2022-09-06,180501.SZ,红土创新深圳安居REIT,B,3.404,6657104,0.0953,0.02799647473560517,2.614,3.0846,0.18564747356051736,-0.28495252643948277,1702000000.0,phase1_warming
2022-09-07,180501.SZ,红土创新深圳安居REIT,B,3.416,2705698,0.0953,0.027898126463700233,2.6215,3.0887,0.16831264637002308,-0.29888735362997654,1708000000.0,phase1_warming
2022-09-08,180501.SZ,红土创新深圳安居REIT,B,3.428,3714840,0.0953,0.02780046674445741,2.6256,3.0901,0.15444667444574067,-0.31005332555425946,1714000000.0,phase1_warming
2022-09-09,180501.SZ,红土创新深圳安居REIT,B,3.427,3609957,0.0953,0.027808578932010504,2.635,3.0982,0.1458578932010508,-0.31734210679894925,1713500000.0,phase1_warming
2022-09-13,180501.SZ,红土创新深圳安居REIT,B,3.423,2540160,0.0953,0.02784107508033888,2.6427,3.1011,0.1414075080338879,-0.31699249196611223,1711500000.0,phase1_warming
2022-09-14,180501.SZ,红土创新深圳安居REIT,B,3.418,3488943,0.0953,0.027881802223522524,2.6625,3.1089,0.12568022235225218,-0.32071977764774795,1709000000.0,phase1_warming
2022-09-15,180501.SZ,红土创新深圳安居REIT,B,3.413,1820618,0.0953,0.027922648696161734,2.6625,3.106,0.12976486961617306,-0.3137351303838267,1706500000.0,phase1_warming
2022-09-16,180501.SZ,红土创新深圳安居REIT,B,3.398,3797004,0.0953,0.02804590935844614,2.673,3.1059,0.13159093584461434,-0.3013090641553857,1699000000.0,phase1_warming
2022-09-19,180501.SZ,红土创新深圳安居REIT,B,3.393,2504932,0.0953,0.02808723843206602,2.675,3.1039,0.13372384320660213,-0.2951761567933979,1696500000.0,phase1_warming
2022-09-20,180501.SZ,红土创新深圳安居REIT,B,3.389,1276186,0.0953,0.02812038949542638,2.664,3.101,0.14803894954263797,-0.28896105045736187,1694500000.0,phase1_warming
2022-09-21,180501.SZ,红土创新深圳安居REIT,B,3.39,852642,0.0953,0.028112094395280233,2.6451,3.089,0.16610943952802337,-0.2777905604719768,1695000000.0,phase1_warming
2022-09-22,180501.SZ,红土创新深圳安居REIT,B,3.394,1582070,0.0953,0.028078962875662934,2.6501,3.0913,0.15779628756629327,-0.28340371243370654,1697000000.0,phase1_warming
2022-09-23,180501.SZ,红土创新深圳安居REIT,B,3.395,1377797,0.0953,0.028070692194403533,2.6802,3.1008,0.12686921944035312,-0.29373078055964674,1697500000.0,phase1_warming
2022-09-26,180501.SZ,红土创新深圳安居REIT,B,3.392,913884,0.0953,0.028095518867924527,2.7154,3.1274,0.0941518867924529,-0.31784811320754747,1696000000.0,phase1_warming
2022-09-27,180501.SZ,红土创新深圳安居REIT,B,3.388,1823716,0.0953,0.028128689492325856,2.7051,3.1202,0.10776894923258551,-0.30733105076741474,1694000000.0,phase1_warming
