date,A,B,spread_B
2022-08-31,,0.036861831442463536,
2022-09-01,,0.035409166099056144,
2022-09-02,,0.035620595144870794,
2022-09-05,,0.035771158950162196,
2022-09-06,,0.03580283353010626,
2022-09-07,,0.03570797762731822,
2022-09-08,,0.035658990690837826,
2022-09-09,,0.0354747514135309,
2022-09-13,,0.03545056015586946,
2022-09-14,,0.035454014029618085,
2022-09-15,,0.03546783625730994,
2022-09-16,,0.03554752368858064,
2022-09-19,,0.035596204636603734,
2022-09-20,,0.03566598059394296,
2022-09-21,,0.03570797762731822,
2022-09-22,,0.035620595144870794,
2022-09-23,,0.03554752368858064,
2022-09-26,,0.03556489444878812,
2022-09-27,,0.035596204636603734,
2022-09-28,,0.035526701161769016,
2022-09-29,,0.03563454759106933,
2022-09-30,,0.03565200352699128,
2022-10-10,,0.03613345248733989,
2022-10-11,,0.03673160391642273,
2022-10-12,,0.03676500303091534,
2022-10-13,,0.03671677933609121,
2022-10-14,,0.0366539081385979,
2022-10-17,,0.03671677933609121,
2022-10-18,,0.03671307506053269,
2022-10-19,,0.03684690157958688,
2022-10-20,,0.03703439853450031,
2022-10-21,,0.03730777117080172,
2022-10-24,,0.03767080745341615,
2022-10-25,,0.03812467260345731,
2022-10-26,,0.038088758635126646,
2022-10-27,,0.03780779220779221,
2022-10-28,,0.03769031589849819,
2022-10-31,,0.037890462307371926,
2022-11-01,,0.037733305682289504,
2022-11-02,,0.03746525275404097,
2022-11-03,,0.037323076923076924,
2022-11-04,,0.03667237730525043,
2022-11-07,,0.03688051079355427,
2022-11-08,,0.03706835082000611,
2022-11-09,,0.03726192914192095,
2022-11-10,,0.03730777117080172,
2022-11-11,,0.03714023270055113,
2022-11-14,,0.03728101628931462,
2022-11-15,,0.037484548825710756,
2022-11-16,,0.03854872881355932,
2022-11-17,,0.038487572712850346,
2022-11-18,,0.03874161609709358,
2022-11-21,,0.03872924648786718,
2022-11-22,,0.03894477739726027,
2022-11-23,,0.03907021687781834,
2022-11-24,,0.039298056155507556,
2022-11-25,,0.039285328727194216,
2022-11-28,,0.03943860409667281,
2022-11-29,,0.039315038893690576,
2022-11-30,,0.03934904844290658,
2022-12-01,,0.0392049127343245,
2022-12-02,,0.03888235922641308,
2022-12-05,,0.03843472750316857,
2022-12-06,,0.03845097210481826,
2022-12-07,,0.03863467459390593,
