date,spread_9REITs,spread_B,yield_10y,d_spread,d_B,regime
2022-12-09,0.9252095951111479,-30.556167818135,2.8903,,,上行
2022-12-12,0.9479778590642789,-30.682957412617,2.8902,0.02276826395313103,-0.1267895944820019,上行
2022-12-13,0.9646354886731389,-32.531537847818,2.8952,0.01665762960885997,-1.8485804352010007,上行
2022-12-14,1.0100938571904685,-30.651885067782,2.8655,0.04545836851732965,1.8796527800360003,上行
2022-12-15,1.0001351009266217,-27.436971414209,2.8829,-0.00995875626384679,3.2149136535729994,上行
2022-12-16,1.008487691419003,-26.595890635655998,2.8856,0.008352590492381351,0.8410807785530032,上行
2022-12-19,1.0554922893007581,-23.913325912066,2.8632,0.04700459788175504,2.682564723589998,上行
2022-12-20,1.1123091657955615,-30.529778859451,2.8732,0.05681687649480338,-6.616452947385,上行
2022-12-21,1.1743477336918804,-38.580317985443,2.8606,0.0620385678963189,-8.050539125992003,上行
2022-12-22,1.1888522641542203,-37.843598754761004,2.8503,0.014504530462339904,0.7367192306819987,上行
2022-12-23,1.172740779888268,-42.003389593779,2.8251,-0.016111484265952214,-4.159790839017994,下行
2022-12-26,1.1710664547099887,-41.859374775871,2.8378,-0.0016743251782793678,0.1440148179080012,下行
2022-12-27,1.1889441312761504,-41.400786365245,2.8657,0.017877676566161682,0.45858841062599964,下行
2022-12-28,1.278483727498669,-38.207177330534996,2.8503,0.0895395962225185,3.1936090347100006,下行
2022-12-29,1.3555738460290274,-35.678074867193,2.8376,0.07709011853035852,2.5291024633419994,下行
2022-12-30,1.376859510459114,-37.798765173431,2.8353,0.021285664430086504,-2.1206903062380036,下行
2023-01-03,1.4224201765081685,-39.756945090177,2.8228,0.04556066604905462,-1.9581799167459977,下行
2023-01-04,1.4415169537477148,-41.86866830598,2.8103,0.01909677723954628,-2.1117232158030035,下行
2023-01-05,1.428034264762428,-42.343911478976004,2.8304,-0.013482688985286817,-0.47524317299600227,下行
2023-01-06,1.3713646306941427,-38.756282584411,2.8328,-0.05666963406828529,3.5876288945650074,下行
2023-01-09,1.3556725583536418,-36.988919949211,2.8428,-0.015692072340500962,1.7673626351999943,下行
2023-01-10,1.343204796132297,-39.460619040867,2.8602,-0.012467762221344714,-2.4716990916559993,下行
2023-01-11,1.3575887807399343,-43.005661623051004,2.8603,0.014383984607637235,-3.545042582184003,下行
2023-01-12,1.339706344546196,-41.74762594887,2.8778,-0.017882436193738194,1.2580356741810022,下行
2023-01-13,1.3353276387978141,-40.615653915282,2.901,-0.00437870574838195,1.1319720335879992,上行
2023-01-16,1.3343397983915188,-39.092985130404,2.9167,-0.0009878404062952928,1.5226687848780003,上行
2023-01-17,1.3649370825536598,-42.000954190569004,2.9017,0.030597284162140914,-2.9079690601650015,上行
2023-01-18,1.3265100359883086,-39.811770889057,2.9222,-0.03842704656535112,2.189183301512003,上行
2023-01-19,1.339261085871056,-40.280248179847,2.9145,0.012751049882747445,-0.46847729078999834,上行
2023-01-20,1.2867020025401432,-40.439376133932996,2.9331,-0.05255908333091286,-0.15912795408599578,上行
2023-01-30,1.274211475873244,-37.943608303139,2.9133,-0.012490526666899315,2.4957678307939943,上行
2023-01-31,1.2215771408076512,-35.384078301648,2.8977,-0.052634335065592674,2.559530001490998,上行
2023-02-01,1.1392494797597283,-30.353034451177002,2.9101,-0.08232766104792288,5.031043850471001,上行
2023-02-02,1.1629526467661695,-28.110794807246002,2.897,0.02370316700644115,2.2422396439310006,上行
2023-02-03,1.166361499257966,-27.23885131251,2.8943,0.0034088524917965657,0.8719434947360014,上行
2023-02-06,1.1610895426674817,-25.580151128353,2.9017,-0.005271956590484406,1.6587001841570022,上行
2023-02-07,1.1774200625328433,-28.974007036445,2.8964,0.016330519865361603,-3.393855908092,上行
2023-02-08,1.1783047905020594,-29.209608306851,2.8973,0.0008847279692161258,-0.23560127040600065,上行
2023-02-09,1.177275244817633,-32.694490907797,2.8912,-0.0010295456844264805,-3.4848826009459977,上行
2023-02-10,1.1628444334381554,-31.605569117866,2.9003,-0.014430811379477548,1.0889217899309962,上行
2023-02-13,1.1448522641542203,-32.792234572142,2.8943,-0.0179921692839351,-1.1866654542759996,上行
2023-02-14,1.1016360952871491,-30.047173060568998,2.8914,-0.043216168867071136,2.7450615115730024,上行
2023-02-15,1.0988380811599177,-29.174015707397,2.8918,-0.002798014127231463,0.8731573531719974,上行
2023-02-16,1.1237021294554244,-31.387089957395,2.8907,0.024864048295506702,-2.213074249997998,上行
2023-02-17,1.109968293383808,-28.809157698586,2.892,-0.013733836071616379,2.5779322588089997,上行
2023-02-20,1.0880695259169968,-28.470506247215,2.917,-0.021898767466811186,0.3386514513709997,上行
2023-02-21,1.0767802142427625,-28.551783900546,2.919,-0.011289311674234304,-0.08127765333100001,上行
2023-02-22,1.0841240084308328,-28.763697069011,2.9175,0.007343794188070296,-0.2119131684649993,上行
2023-02-23,1.0899783917543557,-28.632271338489,2.922,0.005854383323522949,0.1314257305219968,上行
2023-02-24,1.1314686379760042,-29.654993457289,2.9126,0.04149024622164843,-1.0227221187999973,上行
2023-02-27,1.1425907237862807,-28.326411106315,2.9117,0.011122085810276516,1.3285823509739991,上行
2023-02-28,1.1582526467661691,-30.22568467331,2.9017,0.015661922979888443,-1.8992735669949994,上行
2023-03-01,1.1647347138864628,-30.170103451914,2.8977,0.006482067120293644,0.0555812213960003,上行
2023-03-02,1.1499160183342063,-30.557974435139,2.9111,-0.014818695552256456,-0.3878709832249996,上行
2023-03-03,1.1644523278831862,-31.35665513211,2.9026,0.014536309548979887,-0.798680696971001,上行
2023-03-06,1.1969367018067003,-35.882828602909,2.8826,0.03248437392351411,-4.526173470799002,上行
2023-03-07,1.2238224988110968,-38.896935951895,2.8726,0.026885797004396528,-3.014107348986002,上行
2023-03-08,1.223748730820164,-46.319476365874,2.8828,-7.376799093283815e-05,-7.422540413979,上行
2023-03-09,1.2309862176906778,-43.627291258163005,2.8752,0.007237486870513843,2.6921851077109977,上行
2023-03-10,1.2398646034574001,-45.218312997503,2.8627,0.008878385766722285,-1.5910217393399932,上行
2023-03-13,1.2207182474934035,-42.348053212870994,2.8703,-0.01914635596399661,2.8702597846320046,上行
2023-03-14,1.2283384558655284,-39.845040767951,2.8652,0.007620208372124848,2.503012444919996,上行
2023-03-15,1.2370027933680214,-39.860113319195,2.8652,0.008664337502493069,-0.015072551244003307,上行
2023-03-16,1.2578849300557076,-38.243007910812004,2.8552,0.020882136687686126,1.6171054083829972,上行
2023-03-17,1.253976320007076,-42.035663232891004,2.8602,-0.003908610048631633,-3.792655322079,上行
2023-03-20,1.2783837274986685,-42.652561151031,2.8504,0.024407407491592537,-0.6168979181399976,上行
2023-03-21,1.2812505630843203,-42.255445605581,2.8604,0.002866835585651817,0.3971155454499993,上行
2023-03-22,1.2954140601785717,-43.404694000393,2.8577,0.014163497094251465,-1.1492483948119983,上行
2023-03-23,1.2875432795286132,-43.160731925117005,2.8652,-0.007870780649958498,0.243962075275995,上行
2023-03-24,1.2881113797909407,-45.304217388677,2.8676,0.0005681002623274534,-2.1434854635599976,上行
2023-03-27,1.2946794160049953,-45.664966037438006,2.8551,0.006568036214054551,-0.3607486487610032,上行
2023-03-28,1.3086683504028649,-45.873902014371,2.8556,0.013988934397869635,-0.2089359769329917,上行
2023-03-29,1.3331808364683644,-45.725584061759,2.8532,0.024512486065499495,0.14831795261199687,上行
2023-03-30,1.3275884914018183,-49.835946553191,2.8603,-0.005592345066546045,-4.110362491431999,上行
